position,velocity,context_0,context_1,context_2
-4.533333333333333,2.0,True,True,True
-4.533333333333333,2.2,True,True,True
-4.533333333333333,2.4000000000000004,True,True,True
-4.533333333333333,2.6000000000000005,True,True,True
-4.533333333333333,2.8000000000000007,True,True,True
-4.533333333333333,3.0,True,True,True
-4.533333333333333,3.2,True,True,True
-4.533333333333333,3.4000000000000004,True,True,True
-4.533333333333333,3.6000000000000005,True,True,True
-4.533333333333333,3.8000000000000007,True,True,True
-4.533333333333333,4.0,True,True,True
-4.266666666666667,-4.0,False,False,False
-4.266666666666667,-3.8,False,False,False
-4.266666666666667,-3.6,False,False,False
-4.266666666666667,-3.4,False,False,False
-4.266666666666667,-3.2,True,True,True
-4.266666666666667,-3.0,True,True,True
-4.266666666666667,-2.8,True,True,True
-4.266666666666667,-2.5999999999999996,True,True,True
-4.266666666666667,-2.4,True,True,True
-4.266666666666667,-2.2,True,True,True
-4.266666666666667,-2.0,True,True,True
-4.266666666666667,-1.7999999999999998,True,True,True
-4.266666666666667,-1.5999999999999996,True,True,True
-4.266666666666667,-1.4,True,True,True
-4.266666666666667,-1.1999999999999997,True,True,True
-4.266666666666667,-1.0,True,True,True
-4.266666666666667,-0.7999999999999998,True,True,True
-4.266666666666667,-0.5999999999999996,True,True,True
-4.266666666666667,-0.3999999999999999,True,True,True
-4.266666666666667,-0.19999999999999973,True,True,True
-4.266666666666667,0.0,True,True,True
-4.266666666666667,0.20000000000000018,True,True,True
-4.266666666666667,0.40000000000000036,True,True,True
-4.266666666666667,0.6000000000000005,True,True,True
-4.266666666666667,0.8000000000000007,True,True,True
-4.266666666666667,1.0,True,True,True
-4.266666666666667,1.2000000000000002,True,True,True
-4.266666666666667,1.4000000000000004,True,True,True
-4.266666666666667,1.6000000000000005,True,True,True
-4.266666666666667,1.8000000000000007,True,True,True
-4.266666666666667,2.0,True,True,True
-4.266666666666667,2.2,True,True,True
-4.266666666666667,2.4000000000000004,True,True,True
-4.266666666666667,2.6000000000000005,True,True,True
-4.266666666666667,2.8000000000000007,True,True,True
-4.266666666666667,3.0,True,True,True
-4.266666666666667,3.2,True,True,True
-4.266666666666667,3.4000000000000004,True,True,True
-4.266666666666667,3.6000000000000005,True,True,True
-4.266666666666667,3.8000000000000007,True,True,True
-4.266666666666667,4.0,True,True,True
-4.0,-4.0,False,False,False
-4.0,-3.8,False,False,False
-4.0,-3.6,False,False,False
-4.0,-3.4,False,False,False
-4.0,-3.2,True,True,True
-4.0,-3.0,True,True,True
-4.0,-2.8,True,True,True
-4.0,-2.5999999999999996,True,True,True
-4.0,-2.4,True,True,True
-4.0,-2.2,True,True,True
-4.0,-2.0,True,True,True
-4.0,-1.7999999999999998,True,True,True
-4.0,-1.5999999999999996,True,True,True
-4.0,-1.4,True,True,True
-4.0,-1.1999999999999997,True,True,True
-4.0,-1.0,True,True,True
-4.0,-0.7999999999999998,True,True,True
-4.0,-0.5999999999999996,True,True,True
-4.0,-0.3999999999999999,True,True,True
-4.0,-0.19999999999999973,True,True,True
-4.0,0.0,True,True,True
-4.0,0.20000000000000018,True,True,True
-4.0,0.40000000000000036,True,True,True
-4.0,0.6000000000000005,True,True,True
-4.0,0.8000000000000007,True,True,True
-4.0,1.0,True,True,True
-4.0,1.2000000000000002,True,True,True
-4.0,1.4000000000000004,True,True,True
-4.0,1.6000000000000005,True,True,True
-4.0,1.8000000000000007,True,True,True
-4.0,2.0,True,True,True
-4.0,2.2,True,True,True
-4.0,2.4000000000000004,True,True,True
-4.0,2.6000000000000005,True,True,True
-4.0,2.8000000000000007,True,True,True
-4.0,3.0,True,True,True
-4.0,3.2,True,True,True
-4.0,3.4000000000000004,True,True,True
-4.0,3.6000000000000005,True,True,True
-4.0,3.8000000000000007,True,True,True
-4.0,4.0,True,True,True
-3.7333333333333334,-4.0,False,False,False
-3.7333333333333334,-3.8,False,False,False
-3.7333333333333334,-3.6,False,False,False
-3.7333333333333334,-3.4,True,True,True
-3.7333333333333334,-3.2,True,True,True
-3.7333333333333334,-3.0,True,True,True
-3.7333333333333334,-2.8,True,True,True
-3.7333333333333334,-2.5999999999999996,True,True,True
-3.7333333333333334,-2.4,True,True,True
-3.7333333333333334,-2.2,True,True,True
-3.7333333333333334,-2.0,True,True,True
-3.7333333333333334,-1.7999999999999998,True,True,True
-3.7333333333333334,-1.5999999999999996,True,True,True
-3.7333333333333334,-1.4,True,True,True
